Samples	group	1261.82410453_13.462	1421.94930453_13.687	1443.93365453_13.687	1451.99625453_14.335	1449.98060453_14.049	1447.96495453_13.734	1471.96495453_14.066	1469.94930453_13.744	1467.93365453_13.446	424.24696553_2.098	436.28335053_5.091	438.29900053_5.205	452.27826553_3.685	462.29900053_5.55	464.31465053_5.644	466.33030053_7.29	474.26261553_1.994	476.27826553_2.766	478.29391553_4.2	480.30956553_6.216	498.26261553_1.943	500.27826553_2.669	502.293915529999_3.365	504.30956553_4.778	506.32521553_6.47	524.278265529999_2.46	526.293915529999_2.907	528.309565529999_4.186	530.325215529999_5.547	690.50793053_10.447	714.50793053_10.814	716.523580529999_11.33	722.51301553_11.014	724.528665529999_11.123	726.54431553_10.938	728.523580529999_10.301	728.55996553_11.03	728.55996553_11.442	730.539230529999_10.815	730.575615529999_11.524	736.492280529999_10.257	738.50793053_10.701	740.523580529999_10.853	742.539230529999_11.454	744.55488053_11.944	746.51301553_10.804	746.570530529999_11.712	748.528665529999_11.035	748.528665529999_10.477	752.523580529999_11.012	752.559965529999_11.748	756.554880529999_10.936	762.50793053_10.295	762.50793053_10.493	764.523580529999_10.074	764.523580529999_10.715	766.539230529999_11.328	768.554880529999_10.669	772.528665529999_10.843	772.58618053_11.75	776.559965529999_10.812	776.559965529999_10.503	778.575615529999_11.429	780.554880529999_10.95	784.58618053_10.864	786.50793053_10.038	788.523580529999_10.529	790.539230529999_10.738	790.539230529999_11.121	792.554880529999_11.556	792.554880529999_10.528	794.570530529999_11.742	794.570530529999_11.122	796.58618053_11.391	806.570530529999_10.522	806.570530529999_11.127	808.58618053_10.736	810.601830529999_11.346	750.52906053_10.472	764.54471053_10.791	764.58109553_11.514	776.54471053_10.507	778.560360529999_11.106	786.565445529999_10.942	788.544710529999_10.203	788.58109553_11.453	790.560360529999_10.594	790.59674553_11.546	792.57601053_11.344	798.52906053_9.86584448861874	802.560360529999_10.631	804.57601053_11.137	806.59166053_11.732	810.565445529999_10.386	812.544710529999_10.102	812.58109553_10.934	814.59674553_11.474	816.57601053_10.846	818.59166053_11.33	824.544710529999_9.819	824.544710529999_10.081	826.560360529999_10.514	828.57601053_10.665	832.60731053_11.74	834.565445529999_10.584	836.58109553_10.822	838.59674553_10.915	840.57601053_10.802	840.612395529999_11.441	844.607310529999_10.973	846.622960529999_11.251	850.560360529999_10.326	852.57601053_10.709	854.59166053_10.949	854.59166053_11.141	856.607310529999_11.116	856.607310529999_11.402	860.58109553_10.6107735942837	862.59674553_10.8229080969285	876.57601053_10.3480606709624	878.59166053_10.447	880.607310529999_11.113	882.622960529999_11.453	892.607310529999_10.5439737326249	894.622960529999_10.635	693.47121153_9.867	719.486861529999_9.904	721.502511529999_10.451	743.486861529999_9.116	745.502511529999_9.607	745.502511529999_10.037	747.518161529999_10.464	757.502511529999_9.369	761.53381153_10.695	769.502511529999_9.245	769.502511529999_9.924	771.518161529999_9.661	773.53381153_10.087	775.54946153_11.063	793.502511529999_9.147	793.502511529999_9.758	795.518161529999_9.57	797.53381153_10.516	815.486861529999_8.656	817.502511529999_9.061	819.518161529999_9.427	821.53381153_10.336	825.565111529999_10.066	841.502511529999_8.899	849.565111529999_9.974	865.502511529999_8.752	867.518161529999_9.14	805.48725653_9.366	807.502906529999_9.823	809.51855653_10.329	833.51855653_9.898	835.534206529999_10.36	837.549856529999_10.837	847.534206529999_10.202	849.549856529999_10.731	857.51855653_9.495	857.51855653_9.806	859.534206529999_9.943	859.534206529999_10.188	861.549856529999_10.499	863.56550653_10.988	869.55494153_10.152	881.51855653_9.633	883.534206529999_9.843	885.549856529999_10.384	887.565506529999_10.645	889.581156529999_11.033	871.534206529999_10.096	899.565506529999_10.685	907.534206529999_9.679	909.549856529999_9.857	909.549856529999_10.218	911.565506529999_10.39	913.581156529999_10.786	913.581156529999_10.986
old_1	Sample source:Heart | Sex:F | Age group:old	10.3365	45.402	13.4371	27.4499	258.962	0.5977	8.6629	8.2827	50.223	0.2705	8.5434	0.3732	1.3986	42.3899	0.2224	11.7629	0.1529	24.92	0.997	0.4671	0.4116	0.5607	9.9951	478.2706	29.8535	0.2789	11.9021	63.7628	84.1439	397.2958	163.1332	193.8913	1596.5698	90.8602	272.8472	35.071	1498.7257	175.0664	114.621	68.1633	155.6925	69.506	383.5765	936.7519	7749.4633	197.4177	38.4454	117.7184	927.6691	31.8621	34.3428	537.593	394.0211	352.934	1670.3354	75.4694	427.2599	444.2379	809.2689	451.7662	550.1821	81.279	49.0587	47.1021	63.5896	1081.1062	118.0922	110.4094	1328.6529	2094.5748	38.9522	198.9839	381.9408	39.329	122.2937	170.7483	59.9024	62.9454	451.3248	107.9765	854.5055	408.927	182.0029	2472.012	4663.211	4544.166	83.3248	26994.9925	24018.4637	13978.1857	1458.0146	259.5066	2929.5855	116.2592	1236.3259	387.9092	2495.33	4703.7707	52.2753	1155.5611	1128.4379	1069.3258	184.2943	460.1789	2832.3985	332.3597	1915.0927	52.053	199.8924	107.2416	4559.896	425.2342	214.1804	385.6401	304.0949	428.6935	509.7876	4206.8336	317.566	322.4636	546.1469	432.8838	104.5315	126.1976	275.5154	0.4111	1.3854	108.8892	10.7117	3.7414	0.9652	8.991	3.9005	3.1302	2.3928	8.3699	5.0953	1.265	3.656	77.0868	55.2944	12.7778	14.568	14.1854	7.5439	5.9412	0.4419	11.1844	1.2581	1.2241	0.6134	1.0836	0.2851	3.529	5.3223	0.1562	0.3813	1.2803	0.0852	2.5177	0.67	9.8199	2.7762	0.3437	0.1949	3.2543	141.6841	0.4099	3.1375	2.4062	0.4495	10.5057	5.7488	0.3162	21.5616	0.7361	0.2518	0.057	0.0665	0.0451
old_2	Sample source:Heart | Sex:M | Age group:old	7.8351	28.5801	2.3963	9.5664	157.8022	1.2436	4.5992	2.8186	31.8892	0.4578	13.2929	1.5837	1.1869	89.2366	1.1401	16.4024	0.4954	35.1246	0.6147	0.405	0.4939	0.703	21.041	591.5797	38.6204	0.4895	17.4303	65.9358	68.7202	286.105	122.1511	128.7205	1414.9103	75.0559	125.2034	121.6575	282.2484	20.5367	56.193	23.9304	91.074	57.113	269.8258	628.5443	6607.0053	181.2056	26.6936	82.7787	412.4123	38.1529	82.7266	351.0519	307.9855	228.7074	1665.179	34.2504	174.9645	104.9675	284.8904	456.7346	155.4346	74.7182	29.0746	24.7336	40.4545	208.9825	13.4278	59.2716	607.9072	1578.1002	44.0051	184.482	272.7594	43.8945	34.041	93.4573	26.1229	45.1971	635.9985	75.6359	458.1635	177.1124	131.7864	1988.419	3321.7267	3274.2282	35.0955	21339.5255	17944.2812	13877.4034	1421.7764	311.6877	2190.6399	134.884	751.0516	364.5174	679.2777	2017.6165	34.0235	343.1519	541.2141	444.7874	149.2891	337.0743	2149.3425	376.9163	1900.9444	47.5299	148.1167	123.9962	2030.7518	499.3886	139.1395	205.5075	357.8465	92.4134	428.0789	1306.026	71.5763	50.5585	304.5729	460.5142	44.9519	42.9933	221.8066	1.0305	2.5836	152.6353	14.8574	6.6137	1.2121	12.1743	4.7971	1.7992	1.8545	14.1387	11.3563	1.6479	6.6939	83.2256	56.8822	26.5164	17.3937	13.3388	14.0345	8.2413	0.5623	13.0814	0.9712	2.3717	1.2561	0.9898	0.4207	5.3313	7.6684	0.2369	0.3012	1.1405	0.0604	3.1874	0.9229	10.1868	4.1541	0.4264	0.3295	6.9014	193.279	0.7319	3.6384	3.3143	0.2995	11.8226	6.6492	0.3596	23.2101	0.7021	0.2529	0.1419	0.2776	0.1497
old_4	Sample source:Heart | Sex:M | Age group:old	9.3064	16.5631	4.866	15.4844	177.2679	1.128	3.0892	4.3443	36.1851	0.2762	14.6733	0.7903	1.4365	85.7208	0.6548	17.8974	0.2699	55.0658	0.8893	0.5172	0.4771	0.8054	11.0046	699.9343	23.8085	0.3003	18.1367	63.9899	122.2356	252.3176	118.08	270.8407	1670.4478	49.316	213.0914	84.8164	409.6861	47.4676	81.5927	71.6448	125.9811	47.4238	236.2744	873.6924	7118.098	104.0003	31.3379	104.0028	844.128	41.8544	52.5454	363.6434	532.908	370.1944	1641.7702	41.3672	313.6509	134.2019	573.4672	696.8647	281.1424	79.562	65.2243	51.1395	69.9952	246.699	29.9125	107.6361	853.2525	1702.7449	25.9308	184.9272	277.9206	30.1089	53.7364	166.5306	67.3516	44.5201	458.987	94.1847	493.2815	445.3628	171.7612	1453.1185	4215.0458	2507.8499	49.4642	21796.3147	30354.5657	14687.7458	864.2704	281.0669	2928.6532	98.7552	974.0482	269.8807	774.8549	3347.7775	84.8422	678.5274	593.3031	936.8811	173.9815	274.2493	1590.3957	218.9519	1914.1751	42.8016	141.961	98.6391	3822.5533	367.661	140.4704	232.8903	205.4333	113.074	399.6313	2060.4343	116.8648	118.866	536.2441	369.6906	74.5815	122.5037	280.0307	0.6278	2.7486	172.9344	27.4116	6.5207	2.0689	8.8047	5.6728	2.8698	3.0076	12.9004	6.9412	1.6374	4.5845	71.2731	98.5864	20.7669	20.2217	37.4066	20.4799	15.0087	0.6787	9.0067	1.6936	2.7457	1.6358	1.6853	0.4026	4.7574	6.9861	0.2984	0.5727	1.7634	0.0475	1.8536	0.6542	10.0031	2.7424	0.4083	0.3743	4.5987	269.9725	0.912	5.0269	6.134	0.3785	33.0219	11.5037	0.5842	27.0333	0.886	0.4021	0.1004	0.3974	0.1294
old_5	Sample source:Heart | Sex:F | Age group:old	9.6342	16.781	5.0599	16.8708	241.2446	0.4933	1.5172	5.1225	46.0902	0.1359	3.37	0.2335	0.3567	15.2229	0.0963	5.3248	0.0753	23.0365	0.1885	0.3139	0.1381	0.2219	5.6404	266.545	11.0598	0.1026	5.6722	27.7842	40.5482	190.9692	128.8382	194.3255	1329.9426	32.9441	194.3546	69.7805	616.2173	91.0816	62.6321	44.7841	126.7462	91.5078	140.5315	801.7074	10096.9811	91.1803	38.4408	98.0732	1251.0634	23.6325	44.6348	382.6054	495.941	278.7006	1462.8951	34.2197	263.5887	73.7164	253.4093	336.1126	128.4039	59.6016	49.1781	28.8315	23.8605	394.9482	37.9839	80.3013	644.5117	1578.5621	21.6211	126.0379	279.6754	14.1974	17.6576	107.412	43.5405	15.4286	384.9565	63.5862	369.6389	253.9155	97.5051	902.2697	1282.0325	2047.6192	9.5062	17431.3221	22913.5626	9933.0124	572.7491	123.6052	1286.9683	21.918	381.6587	154.82	368.2002	1357.6466	68.6213	272.62	336.6921	470.2155	110.9375	84.4568	833.376	143.5271	1453.9167	19.4567	120.7452	34.8588	3361.1219	252.3862	124.3969	158.7265	79.596	48.3946	201.6875	805.9234	52.6667	58.8128	190.4434	170.9866	40.5018	55.4148	173.3764	0.3733	0.5895	98.4888	14.6113	3.2378	0.705	6.2678	4.6628	1.64	12.2773	7.4298	4.4253	0.5823	2.6066	37.4956	69.5325	17.7611	15.7612	36.1977	20.1779	15.9822	1.1409	8.6856	1.1318	3.252	0.864	1.7097	0.0994	1.6176	3.325	0.0875	0.2399	0.7354	0.0267	0.6323	0.571	6.564	2.2751	0.0117	0.1843	6.2347	153.2944	0.7781	3.2495	1.7487	1.2834	22.1562	3.4186	0.0645	9.8345	0.3257	0.0579	0.0595	0.2688	0.1023
old_7	Sample source:Heart | Sex:F | Age group:old	7.1853	18.7302	6.3905	23.0068	258.66	0.272	0.8994	7.0327	55.7927	0.1222	9.3349	0.3513	1.2043	41.6579	0.2143	10.7681	0.0994	60.9443	0.733	0.7273	0.2644	0.6855	10.6077	441.19	18.2121	0.2159	10.292	42.6277	71.6321	205.3954	220.9566	700.9798	2684.0143	106.7113	380.8306	129.324	1879.4062	203.3087	81.4669	113.2975	435.1511	121.7422	290.1509	1603.5664	10908.5099	144.4277	49.3225	138.5989	1300.7776	92.9622	46.7255	425.7408	1220.1901	840.1859	2006.8921	116.0896	409.7945	435.3241	1740.8145	821.6113	441.3285	129.7171	126.7848	87.9154	50.5947	1292.9849	135.1468	178.9959	1559.7398	2519.8957	73.0095	224.5419	370.6767	42.2366	78.4294	160.7793	58.4643	47.6225	388.5285	194.1973	666.0773	894.0036	185.2043	1561.6524	6471.3998	3472.9571	62.3335	40141.9882	58557.383	21235.4967	1334.6224	397.5783	3519.4252	154.1853	2713.9216	289.7232	3264.7874	12461.9586	233.9124	1181.6492	806.3921	1606.545	232.362	414.4018	2531.8765	686.1078	2936.6533	68.6277	221.7888	154.7935	9702.1635	406.9158	229.2109	379.8542	378.2676	464.467	608.1333	4004.8814	268.0205	218.4153	992.7513	682.0315	99.6267	112.6729	546.7633	0.2376	1.8557	120.2	23.4189	4.8917	1.0816	3.7678	2.4185	1.314	2.9686	8.0166	4.8377	0.9106	1.9876	30.0948	63.2505	7.097	5.8893	35.8331	9.8201	5.2428	0.2905	7.2709	0.2576	0.6231	0.3041	0.4008	0.1728	2.6858	4.4608	0.1849	0.4042	1.0874	0.0136	0.4986	0.2254	5.1476	0.7819	0.3425	0.229	4.0548	169.1291	0.5636	3.2474	2.8324	0.4771	30.037	8.2615	0.4065	12.9415	0.4958	0.1417	0.0835	0.1044	0.0667
old_8	Sample source:Heart | Sex:M | Age group:old	5.3619	14.8286	4.3416	16.2041	234.4788	2.062	1.8352	3.8137	25.338	0.3371	17.7343	1.0967	1.6661	90.7852	0.9005	17.2469	0.3936	29.6281	0.9507	0.4584	0.5697	0.7759	10.2506	586.6651	58.5744	0.3142	10.9205	61.3602	163.4238	43.8262	34.9046	51.4088	396.7824	24.9232	76.7671	10.2248	82.7424	16.8715	13.6236	7.2214	33.8634	54.1495	91.4534	102.7013	1763.874	48.0714	14.8657	39.7613	309.8752	4.9369	23.8012	54.1468	173.4753	73.165	299.112	19.4035	101.6881	13.1478	37.985	133.9508	31.9035	13.7854	7.6459	13.2636	10.1194	50.9003	12.5661	26.0161	212.6746	166.8254	9.7413	34.1791	37.2502	9.6337	6.7132	24.6676	11.6769	26.1492	33.6663	11.6159	38.5728	24.7131	17.2931	130.4887	492.177	123.6456	11.2788	1249.4252	1490.1943	896.6193	175.5908	29.178	414.0853	14.9558	54.0808	17.4005	40.6496	105.5463	6.7181	41.813	69.6047	82.9763	20.0827	94.586	328.2096	41.1216	148.9016	7.6491	12.1441	16.0609	148.7701	21.7997	8.4866	28.7055	28.1204	6.8769	43.4044	107.5473	7.7089	10.4259	32.6623	29.4582	6.1369	14.0577	26.4805	0.4563	1.9807	135.4082	15.7835	3.8296	2.1184	5.1658	2.0527	5.1301	1.2191	18.5526	4.02	1.7734	3.3394	45.3032	52.3367	12.3347	32.4053	14.8593	10.954	19.8078	1.1857	19.8758	4.0464	3.6064	3.0155	7.8726	0.5648	4.9058	8.2257	0.7882	0.6233	2.2822	0.3083	1.5936	1.4816	14.4511	6.4102	0.4669	0.9015	8.3301	273.8693	1.3236	6.5389	14.6095	0.1399	24.179	9.0467	0.7607	27.3665	1.1842	0.8139	0.1946	1.0524	0.3148
old_9	Sample source:Heart | Sex:M | Age group:old	10.0289	24.354	4.548	20.7326	226.4711	NA	1.7688	5.4043	43.6637	0.1703	3.3718	0.1623	0.9623	9.6194	0.0719	3.5601	0.0532	9.59	0.4828	0.1446	0.0947	0.122	4.9409	295.7064	17.1759	0.095	4.3988	27.4649	46.8008	1160.8842	188.6146	268.4884	3013.9797	147.4466	543.3097	133.9702	5462.2951	817.2074	284.9836	153.4715	221.3978	197.9555	327.4527	1484.7841	10964.1819	749.7514	35.9527	116.626	1600.6932	34.7889	50.2357	1779.1872	487.522	283.3829	1801.6689	49.3967	441.2864	771.8009	1492.631	239.2354	1364.2338	78.085	43.4085	49.4862	70.0942	2939.1007	335.8404	181.5491	1058.7103	4518.7756	63.8616	442.8062	869.9765	34.0194	288.2017	279.4808	106.3135	55.7434	1540.313	208.0242	1454.6268	770.3905	629.708	3931.8123	5341.1543	6225.4643	63.5742	42139.1126	39510.0716	35664.1631	3526.4007	283.7863	4894.3901	61.2638	946.3567	457.7029	3105.799	5748.2162	114.7624	2822.0698	1087.5417	1092.3826	426.5864	242.2903	1582.5438	326.9835	3679.6367	26.837	250.1447	82.7028	2478.3434	588.9222	254.9209	303.4736	328.2233	289.5982	557.1542	6287.7302	375.0262	528.5499	212.8062	394.3376	74.4922	106.0647	376.685	0.123	0.6397	23.0317	2.8771	0.7148	0.1388	3.2392	1.8722	0.1017	6.3976	3.76	0.7705	0.2159	1.0225	16.1079	17.2454	7.0714	5.7149	5.917	5.4449	4.6498	0.502	24.8646	0.9145	1.4471	0.3517	0.7967	0.2554	0.5407	1.4042	0.0177	0.15	0.4999	NA	0.4372	0.2471	1.7308	0.6394	0.0035	0.0198	2.6967	71.3701	0.1344	1.6688	1.0383	0.7033	5.4356	0.4932	0.0029	3.3315	0.043	NA	0.137	0.1115	0.05
old_10	Sample source:Heart | Sex:M | Age group:old	9.1513	5.9007	5.4535	13.3291	52.4698	0.2316	1.1935	3.7497	11.5072	0.1872	11.0486	0.8928	1.2417	80.6806	0.775	15.1995	0.2724	28.1521	0.5403	0.4403	0.3825	0.4528	7.6525	547.5341	123.0708	0.1484	7.5845	87.4019	189.4222	192.6533	76.387	132.1862	924.4449	146.0134	318.6529	45.3506	120.4783	29.4179	65.89	35.9993	69.9568	60.3242	224.1335	452.013	3631.2662	400.5401	10.9914	42.044	1113.7589	21.0319	30.8891	249.0398	334.2703	157.6754	941.4923	39.8232	328.3464	60.2658	166.1932	475.5484	146.7639	54.8355	23.5685	53.1701	38.4858	78.2123	15.8131	65.126	423.3372	1488.3358	19.5346	97.8935	216.1447	18.2316	17.1649	136.5429	99.444	30.8557	359.1728	65.6595	447.4562	218.2587	115.1143	1142.7795	2544.7532	1727.9511	33.2782	17325.2026	16116.0557	9056.8622	2760.5896	94.9804	3409.8405	47.4086	439.5322	166.6588	341.2448	1059.4637	110.5741	700.0243	570.3675	572.8564	146.0386	209.0049	1481.7253	136.6726	1088.7457	16.1879	119.5552	77.6127	1828.7457	373.1297	102.0247	286.7779	128.309	47.5539	309.0625	992.2212	77.8167	121.823	220.3469	201.815	88.0178	145.3545	135.6405	0.7305	2.6246	167.8269	23.8707	4.0703	2.9215	6.9519	2.8587	3.6865	2.5024	11.4916	3.6641	1.5917	4.337	58.4985	62.1743	20.1632	44.5688	18.7692	22.4567	27.1374	2.6367	38.5934	4.503	7.0704	1.6273	12.362	0.2531	3.4978	7.9528	0.7285	0.4382	1.6629	0.1298	1.5412	0.5915	7.064	3.7049	0.2838	0.2389	4.0582	225.6931	0.4748	7.7409	12.5671	0.3472	23.7648	6.961	0.559	20.9785	1.0238	0.7248	0.141	0.2923	0.1127
old_11	Sample source:Heart | Sex:F | Age group:old	10.6735	22.4541	8.3435	25.2522	142.1421	1.5553	4.0087	7.0726	39.2335	0.4648	17.7166	0.9525	0.688	70.0868	0.5295	20.8548	0.3966	33.3383	0.416	0.4235	0.4475	0.4951	7.0183	845.3095	35.3222	0.2118	13.7547	47.1684	145.8941	40.9727	46.8672	66.3191	835.8236	12.2855	92.0346	22.2038	7.4115	1.3439	14.0681	5.4401	50.6519	47.7853	69.8952	129.1715	3058.3164	13.4213	16.8235	43.759	329.7103	4.0738	25.0128	74.5042	160.9411	76.8353	596.1358	22.6357	108.6899	0.6326	0.7737	74.9497	2.4852	15.957	1.7623	9.081	2.8401	8.4926	0.7531	11.4667	53.8863	271.4046	7.7569	44.4333	49.1401	7.85	0.0107	8.3258	2.2199	19.8542	41.352	39.0308	64.8184	27.9179	17.4264	168.5274	889.6904	273.2615	12.8055	2990.8293	2681.1909	1624.5994	83.0916	34.5956	371.823	18.0999	90.8989	19.3367	2.8753	3.5294	5.1729	0.9922	86.4972	82.0616	27.3917	95.5447	365.3737	44.0462	339.7758	8.995	20.2164	19.9745	411.2966	43.066	14.942	43.8102	38.1658	0.8708	81.3002	7.8824	1.0841	0.1433	12.2831	7.1525	2.2935	4.3117	46.1504	0.3408	1.3902	90.06	8.8459	2.9083	0.8739	3.2239	1.409	3.1877	2.9705	8.8819	5.6078	1.5035	1.9091	39.3722	37.2323	14.7716	18.2081	10.0426	8.6309	11.424	0.575	7.1628	2.121	3.1728	1.5856	2.4534	1.2485	3.8294	6.6415	0.412	0.4641	1.7831	0.3381	1.8668	5.333	18.1244	7.5021	0.2662	0.3625	7.5044	311.4428	1.588	4.6493	7.7257	0.4141	28.4965	6.3881	0.2696	19.7674	0.7638	0.4536	0.2433	1.0886	0.2376
old_12	Sample source:Heart | Sex:M | Age group:old	8.9959	14.9797	3.9483	15.3507	222.5424	1.5865	2.9053	3.5683	45.1852	0.1788	10.1652	0.7022	1.0078	62.6434	0.48	11.9278	0.2125	44.3882	0.8031	0.6561	0.3211	0.8645	8.7011	545.8412	27.5945	0.1483	9.5825	41.3519	118.4721	152.8472	114.8798	231.6444	1019.2655	41.8266	231.8765	74.7363	374.6366	49.5193	37.5972	41.3752	80.6104	56.1458	193.9079	555.3928	6085.5271	92.7261	25.9431	86.9414	996.2574	43.7276	52.792	196.1197	542.1438	319.6387	918.9312	38.5665	278.839	115.6235	470.965	517.3974	237.7995	44.862	71.1166	40.8067	56.2707	324.4399	43.93	68.3089	831.8069	1361.5429	21.268	108.3848	136.63	20.6677	48.3253	121.6609	46.8443	35.3145	205.7885	40.1263	230.5686	220.5612	63.8957	943.3669	2759.8741	1700.3826	28.1209	16168.9506	24586.0046	8585.7798	655.1834	111.8801	2132.7682	59.2004	622.6371	120.5838	636.0919	2593.04	80.8491	522.76	377.5031	596.2199	78.6774	236.2385	1367.2085	150.2456	992.267	21.3236	69.5072	86.8781	2479.4602	141.4477	58.536	162.7879	140.4363	122.8784	286.9386	1691.7357	97.8365	128.0653	455.6189	253.1472	61.1473	116.1394	178.3694	0.4334	1.6825	181.6643	22.8636	4.9725	1.7522	14.0953	7.7405	2.272	2.2321	14.3464	7.2424	1.9658	3.7031	63.3902	116.6723	17.86	25.5644	67.1829	23.0604	25.6259	1.489	7.2229	2.3436	3.2935	1.2159	3.2014	0.3264	4.4568	6.1797	0.3315	0.4571	1.3111	0.0172	1.3539	0.6042	9.4167	2.6246	0.2838	0.5416	3.8109	222.0339	0.6691	4.1279	7.0987	0.3412	35.2652	11.127	0.6575	17.0028	0.5511	0.2897	0.0888	0.2347	0.0782
old_13	Sample source:Heart | Sex:F | Age group:old	4.5433	6.8257	1.2387	5.4934	68.026	0.1984	0.8192	1.0511	7.9998	0.3648	22.0081	1.5077	1.1188	109.948	1.2003	18.7458	0.9868	36.9825	1.1134	0.2163	0.6333	1.2856	6.5433	479.8697	21.0999	0.2627	22.3115	47.6769	66.0597	12.3981	13.4232	37.1916	259.0856	3.8933	12.5715	5.6707	1.0946	0.1377	3.5007	2.8106	18.0207	18.408	25.5007	48.2437	902.393	5.1721	8.688	20.0368	76.4575	3.6775	9.9461	15.2091	118.4758	49.4043	282.4765	6.5252	30.768	0.1017	0.1984	31.1714	1.2117	6.8668	1.2654	5.1602	0.913	0.4755	0.0036	6.0991	21.1822	70.2293	1.9993	9.376	11.9597	3.766	0.0122	2.403	0.5505	10.6993	15.3366	9.3782	14.4025	11.13	4.4913	52.7672	245.4523	72.1688	3.5607	551.2021	781.4931	428.2362	27.017	17.3891	106.1089	10.392	32.0382	10.21	0.2947	0.7033	0.7845	0.1042	22.9965	41.1249	6.247	48.5211	113.2936	10.2104	52.4221	3.6225	3.3796	8.4242	112.0217	10.9232	2.7334	5.6646	16.7826	0.0275	38.5292	0.8168	0.7737	0.007	7.8433	4.9594	1.2629	0.8125	9.1315	0.2764	1.4326	70.2304	15.8737	2.6383	0.8482	14.0093	8.8807	2.7722	0.6779	6.0293	4.135	0.8975	2.0915	40.2889	92.2928	29.0923	21.8819	45.003	32.4556	20.7878	0.5929	2.7045	1.3577	3.6067	1.7473	2.0002	1.0535	8.9072	7.7702	0.5805	0.7708	1.596	0.317	2.8974	4.9376	19.2391	8.0926	24.3109	0.6519	4.9622	238.9377	1.7737	5.6591	8.9036	0.2281	42.0064	25.1051	1.6014	35.7398	1.4975	0.8826	0.3385	0.8719	0.2218
